,alpha1,alpha2,dim_out,lr
0,0.009358613807764704,0.44890881313388464,29,0.0025354561213846035
1,0.49905781085198797,0.5095921352723952,34,0.003538107216745744
2,0.11338368993483516,0.7745001649412282,28,0.0066560444856891415
3,0.049974018177630475,0.28481374567502626,16,0.003933159101009274
4,0.6854075942430917,0.0783549949747161,17,0.0018874291460241814
5,0.4869880682157304,0.9155521265456164,38,0.0014153329417092113
6,0.8976572264432696,0.6429808639679507,17,0.0019021700521052072
7,0.6474520707432663,0.8171807514937439,7,0.0070386064580062
8,0.8969631227909967,0.6366431918377362,7,0.009395215343865115
9,0.7211349291646855,0.7712856213032948,25,0.006990197104628736
10,0.8313534207761898,0.20521455614241624,19,0.0010887290491310572
11,0.8275680688218048,0.7481559796525611,31,0.006180823823038598
12,0.8335795840581405,0.1657201901777039,23,0.0012711615819445902
13,0.9570443356628054,0.2782322156233388,23,0.0017310953089866128
14,0.3680444370049888,0.3846323984070552,24,0.007259662900602523
15,0.4948376298852877,0.2510873719811286,15,0.0010732916506158796
16,0.3395094745874908,0.24124747063629115,8,0.0030847488178602396
17,0.6194293262449903,0.841467701816542,33,0.0027041482740073897
18,0.9775296384212853,0.02093154791445695,6,0.0047065220736276425
19,0.09643307763797171,0.8949184998058468,3,0.00824068511051394
20,0.7442062122546155,0.4361298294686018,37,0.005577792089640707
21,0.2924994740953817,0.26597978441899095,30,0.008782403449114648
22,0.29867535096495224,0.9052441716549023,17,0.003156862539858508
23,0.7524734726898578,0.5598155115311021,11,0.0025843759047505313
24,0.018663727705075295,0.10903118077066576,5,0.007351373079145799
25,0.5237374359849274,0.7015135048421537,5,0.005143148892739651
26,0.8644358472003689,0.8227111958304791,29,0.003169845733264222
27,0.38884284026397764,0.7385062436618092,33,0.00839411213138375
28,0.21219184946689085,0.9878939995349252,12,0.008645292211125762
29,0.4751807042608416,0.15918045088787258,17,0.009409712787534174
30,0.5646724179652427,0.9880797345309785,19,0.0011629856748238414
31,0.3494292959967553,0.7262849802515444,18,0.008082349532696546
32,0.9759086269475601,0.6000939606301043,23,0.0023043507581004545
33,0.037820043672969206,0.1583645012309317,33,0.0052564543524610445
34,0.7942696863674978,0.07333447221727607,18,0.00985699820407445
35,0.3578826023050333,0.21758939605182348,23,0.0061597615624174595
36,0.7479639528617826,0.3042822139387391,30,0.008748524446374707
37,0.9145093066702177,0.8070255868829371,23,0.006492960932721011
38,0.37266242389229254,0.3650634338277222,10,0.008380005161339587
39,0.964883473247271,0.8687615047786919,22,0.00962136650107404
40,0.08138577313998274,0.1029118115550628,30,0.008274315158265823
41,0.04245099105805372,0.48055126824261374,4,0.004179673187428871
